Geography,Total; Estimate; Total population
"Westbury Union Free School District, New York",26255
"Westfield Central School District, New York",4888
"Westhampton Beach Union Free School District, New York",5139
"Westmoreland Central School District, New York",6526
"Westport Central School District, New York",1349
"Wheatland-Chili Central School District, New York",6024
"Wheelerville Union Free School District, New York",1208
"White Plains City School District, New York",57925
"Whitehall Central School District, New York",4749
"Whitesboro Central School District, New York",25580
"Whitesville Central School District, New York",1022
"Whitney Point Central School District, New York",9096
"North Greenbush Common School District (Williams), New York",1805
"Williamson Central School District, New York",6482
"Williamsville Central School District, New York",74637
"Willsboro Central School District, New York",2623
"Wilson Central School District, New York",8497
"Windham-Ashland-Jewett Central School District, New York",3094
"Hewlett-Woodmere Union Free School District, New York",19272
"Worcester Central School District, New York",2382
"Wyandanch Union Free School District, New York",10609
"Wynantskill Union Free School District, New York",3731
"Wyoming Central School District, New York",1577
"Yonkers City School District, New York",199725
"York Central School District, New York",5076
"Yorktown Central School District, New York",21251
"Cuba-Rushford Central School District, New York",5985
"Remainder of New York, New York",258409
